Abundance,Reference,Sampling_effort,species,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
4,Cameron et al. 2011,30,Bombus bifarius,62,152,38,8430,277,-119,396,147,-41,175,-41,507,91,10,65,255,40,222,40
0,Cameron et al. 2011,30,Bombus impatiens,62,152,38,8430,277,-119,396,147,-41,175,-41,507,91,10,65,255,40,222,40
0,Cameron et al. 2011,30,Bombus bifarius,161,132,34,8545,346,-32,378,208,47,268,47,896,139,32,39,328,117,239,117
0,Cameron et al. 2011,30,Bombus impatiens,161,132,34,8545,346,-32,378,208,47,268,47,896,139,32,39,328,117,239,117
0,Cameron et al. 2011,30,Bombus bifarius,118,121,29,9879,316,-89,405,219,-18,239,-18,1004,118,35,33,334,130,315,130
8,Cameron et al. 2011,30,Bombus impatiens,118,121,29,9879,316,-89,405,219,-18,239,-18,1004,118,35,33,334,130,315,130
0,Cameron et al. 2011,30,Bombus bifarius,107,124,29,10186,311,-105,416,221,-34,231,-34,934,116,27,39,332,107,318,107
6,Cameron et al. 2011,30,Bombus impatiens,107,124,29,10186,311,-105,416,221,-34,231,-34,934,116,27,39,332,107,318,107
0,Cameron et al. 2011,30,Bombus bifarius,118,120,30,9683,312,-80,392,175,-14,236,-14,958,102,48,22,300,168,282,168
5,Cameron et al. 2011,30,Bombus impatiens,118,120,30,9683,312,-80,392,175,-14,236,-14,958,102,48,22,300,168,282,168
0,Cameron et al. 2011,30,Bombus bifarius,118,120,30,9688,312,-80,392,217,-14,236,-14,961,102,48,22,302,168,284,168
12,Cameron et al. 2011,30,Bombus impatiens,118,120,30,9688,312,-80,392,217,-14,236,-14,961,102,48,22,302,168,284,168
0,Cameron et al. 2011,30,Bombus bifarius,109,113,29,9805,299,-86,385,210,-24,229,-24,970,112,48,24,313,165,303,165
15,Cameron et al. 2011,30,Bombus impatiens,109,113,29,9805,299,-86,385,210,-24,229,-24,970,112,48,24,313,165,303,165
0,Cameron et al. 2011,40,Bombus bifarius,75,115,26,11199,285,-151,436,211,-79,211,-79,849,118,21,49,336,73,336,73
10,Cameron et al. 2011,40,Bombus impatiens,75,115,26,11199,285,-151,436,211,-79,211,-79,849,118,21,49,336,73,336,73
0,Cameron et al. 2011,45,Bombus bifarius,97,117,27,10543,301,-118,419,206,-47,226,-47,904,110,28,41,322,93,317,93
24,Cameron et al. 2011,45,Bombus impatiens,97,117,27,10543,301,-118,419,206,-47,226,-47,904,110,28,41,322,93,317,93
0,Cameron et al. 2011,45,Bombus bifarius,76,122,28,10797,286,-149,435,207,-73,207,-73,867,112,24,44,330,88,330,88
0,Cameron et al. 2011,45,Bombus impatiens,76,122,28,10797,286,-149,435,207,-73,207,-73,867,112,24,44,330,88,330,88
0,Cameron et al. 2011,45,Bombus bifarius,124,136,38,8055,297,-59,356,205,184,224,16,1243,130,78,13,355,271,335,294
2,Cameron et al. 2011,45,Bombus impatiens,124,136,38,8055,297,-59,356,205,184,224,16,1243,130,78,13,355,271,335,294
0,Cameron et al. 2011,60,Bombus bifarius,72,137,34,9074,286,-114,400,115,-42,192,-42,581,99,17,56,270,61,207,61
0,Cameron et al. 2011,60,Bombus impatiens,72,137,34,9074,286,-114,400,115,-42,192,-42,581,99,17,56,270,61,207,61
40,Cameron et al. 2011,60,Bombus bifarius,68,156,38,8630,287,-119,406,155,-38,183,-38,476,87,9,68,244,35,212,35
